,x0,x1,x2,x3,char
105,2.89,5.97,4.14,5.33,D
106,4.69,6.0,3.31,6.32,B
107,4.42,7.43,3.15,6.24,C
108,3.05,6.34,4.61,5.58,B
109,5.02,7.95,2.03,5.73,C
110,2.46,7.29,3.25,6.32,D
111,5.14,5.7,1.15,6.4,A
112,3.45,8.44,3.1,4.46,C
113,1.23,6.47,5.3,7.39,D
114,1.25,5.95,5.8,6.86,D
115,3.12,7.68,4.2,4.85,C
116,3.85,3.43,4.72,7.58,A
117,3.83,7.61,3.57,5.2,C
118,5.96,7.55,0.49,4.29,B
119,1.49,6.92,4.6,6.69,D
120,4.88,6.09,3.03,5.91,B
121,3.95,5.14,4.91,7.76,B
122,2.63,7.36,3.02,6.87,D
123,3.95,8.14,2.91,5.46,C
124,2.91,5.26,3.83,6.81,A
125,3.82,7.51,1.66,8.05,D
126,4.55,5.91,2.54,9.72,D
127,3.8,5.61,4.59,4.63,B
128,2.74,7.7,2.56,5.32,D
129,3.65,8.7,2.65,3.92,C
130,3.29,8.37,3.34,3.98,C
131,4.48,3.81,3.71,9.28,A
132,4.14,7.78,3.08,4.19,C
133,2.28,6.92,3.8,4.79,D
134,4.61,5.86,3.53,5.89,B
135,5.23,6.55,2.22,8.89,B
136,3.18,6.11,4.72,6.71,B
137,1.59,7.53,3.89,4.91,D
138,4.65,4.27,3.07,8.46,A
139,2.48,7.79,4.72,4.01,C
140,3.04,5.91,5.05,4.61,B
141,5.35,6.52,2.14,5.46,B
142,3.7,8.14,3.16,4.95,C
143,4.35,7.66,2.99,4.28,C
144,6.29,4.05,3.66,7.66,B
145,4.88,6.99,3.13,6.11,C
146,2.23,6.92,3.85,6.35,D
147,3.6,3.31,7.09,7.8,B
148,2.83,4.07,5.1,5.29,A
149,4.35,8.17,2.48,5.21,C
150,6.31,6.69,1.0,4.93,B
151,3.64,4.71,3.64,8.27,A
152,2.17,7.18,3.65,6.33,D
153,2.24,5.09,4.67,7.41,A
154,1.18,6.34,5.48,6.11,D
155,3.47,5.11,5.42,5.2,B
156,3.77,8.04,3.19,3.91,C
157,3.44,4.73,3.83,6.76,A
158,4.19,7.81,3.0,4.11,C
159,1.56,5.76,5.68,5.73,D
160,1.28,3.77,6.95,4.11,A
161,2.85,4.33,4.82,6.7,A
162,4.34,7.93,2.72,6.63,C
163,6.31,5.01,2.69,8.39,B
164,2.35,5.63,6.02,3.75,B
165,1.18,6.4,5.42,6.28,D
166,1.69,7.55,3.76,4.29,D
167,2.23,7.05,3.72,5.64,D
168,4.42,5.16,4.42,7.46,B
169,4.03,8.13,2.84,4.38,C
170,3.79,5.56,4.65,6.92,B
171,3.83,7.42,3.76,5.54,C
172,1.53,6.32,6.15,4.09,B
173,5.26,4.75,1.99,6.96,A
174,4.16,8.41,2.43,4.26,C
175,2.11,5.07,4.83,5.83,A
176,5.32,7.87,1.81,6.23,C
177,4.06,8.91,2.03,5.91,C
178,3.56,9.22,1.23,3.14,B
179,3.82,5.76,4.41,5.56,B
180,3.61,8.04,3.35,4.92,C
181,2.85,5.62,4.53,6.71,D
182,1.83,5.64,5.53,6.66,D
183,5.68,4.93,3.39,8.5,B
184,5.8,5.19,3.02,8.13,B
185,3.1,2.55,6.35,7.19,A
186,2.03,5.08,4.89,5.23,A
187,3.5,7.21,4.29,5.46,C
188,3.47,5.88,3.65,6.56,D
189,0.84,3.3,7.86,4.46,A
190,3.95,8.11,2.94,3.28,C
191,2.17,5.15,4.68,5.39,A
192,3.19,7.93,3.87,5.54,C
193,2.54,4.81,4.64,6.42,A
194,4.04,3.51,4.44,9.46,A
195,4.52,7.9,2.59,5.86,C
196,2.5,4.61,4.89,5.27,A
197,2.38,7.55,3.07,5.89,D
198,1.95,6.79,4.26,7.84,D
199,3.11,7.53,2.36,7.3,D
